Thread	Address	Instruction	Result
00001DC9	.text:sum+128	mov     rax, [rbp+var_140]	RAX=00005624F6EC92E0 
00001DC9	.text:sum+12F	mov     [rax], rdx	
00001DC9	.text:sum+132	mov     rdx, cs:_2_sum_1_opaque_list_1	RDX=00005624F6EC92A0 
00001DC9	.text:sum+139	mov     rax, [rbp+var_140]	
00001DC9	.text:sum+140	mov     [rax+10h], rdx	
00001DC9	.text:sum+144	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+14B	mov     rax, [rax]	RAX=00005624F6EC92C0 
00001DC9	.text:sum+14E	mov     rdx, [rbp+var_140]	RDX=00005624F6EC92E0 
00001DC9	.text:sum+155	mov     [rax+10h], rdx	
00001DC9	.text:sum+159	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+160	mov     rdx, [rbp+var_140]	
00001DC9	.text:sum+167	mov     [rax], rdx	
00001DC9	.text:sum+16A	mov     eax, 0	RAX=0000000000000000 
00001DC9	.text:sum+16F	call    _rand	RSP=00007FFEB943A0F8 
00001DC9	.plt:_rand	jmp     cs:rand_ptr	RAX=00000000643C9869 RCX=0000000000000000 RDX=00000000643C9869 RSI=00007FFEB943A0D4 RDI=00007FE4914BB740 RSP=00007FFEB943A100 R8=0000000000000000 PF=0 ZF=0 
00001DC9	.text:sum+174	mov     [rbp+var_15C], eax	
00001DC9	.text:sum+17A	mov     edi, 18h; size	RDI=0000000000000018 
00001DC9	.text:sum+17F	call    _malloc	RSP=00007FFEB943A0F8 
00001DC9	.plt:_malloc	jmp     cs:malloc_ptr	RAX=00005624F6EC9300 RCX=00005624F6EC9310 RDX=0000000000000021 RSI=0000000000000000 RDI=0000000000000000 RSP=00007FFEB943A100 R8=00005624F6EC9300 PF=1 ZF=1 
00001DC9	.text:sum+184	mov     [rbp+var_138], rax	
00001DC9	.text:sum+18B	mov     eax, [rbp+var_15C]	RAX=00000000643C9869 
00001DC9	.text:sum+191	lea     edx, [rax+rax]	RDX=00000000C87930D2 
00001DC9	.text:sum+194	mov     rax, [rbp+var_138]	RAX=00005624F6EC9300 
00001DC9	.text:sum+19B	mov     [rax+8], edx	
00001DC9	.text:sum+19E	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+1A5	mov     rdx, [rax]	RDX=00005624F6EC92E0 
00001DC9	.text:sum+1A8	mov     rax, [rbp+var_138]	RAX=00005624F6EC9300 
00001DC9	.text:sum+1AF	mov     [rax], rdx	
00001DC9	.text:sum+1B2	mov     rdx, cs:_2_sum_1_opaque_list_1	RDX=00005624F6EC92A0 
00001DC9	.text:sum+1B9	mov     rax, [rbp+var_138]	
00001DC9	.text:sum+1C0	mov     [rax+10h], rdx	
00001DC9	.text:sum+1C4	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+1CB	mov     rax, [rax]	RAX=00005624F6EC92E0 
00001DC9	.text:sum+1CE	mov     rdx, [rbp+var_138]	RDX=00005624F6EC9300 
00001DC9	.text:sum+1D5	mov     [rax+10h], rdx	
00001DC9	.text:sum+1D9	mov     rax, cs:_2_sum_1_opaque_list_1	RAX=00005624F6EC92A0 
00001DC9	.text:sum+1E0	mov     rdx, [rbp+var_138]	
00001DC9	.text:sum+1E7	mov     [rax], rdx	
00001DC9	.text:sum+1EA	mov     rax, cs:_2_sum_1_opaque_list_1	
00001DC9	.text:sum+1F1	mov     rax, [rax]	RAX=00005624F6EC9300 
00001DC9	.text:sum+1F4	mov     cs:_2_sum_1_opaque_ptr_1, rax	
00001DC9	.text:sum+1FB	mov     rax, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+202	mov     cs:_2_sum_1_opaque_ptr_2, rax	
00001DC9	.text:sum+209	mov     rax, cs:_2_sum_1_opaque_ptr_2	
00001DC9	.text:sum+210	mov     rax, [rax]	RAX=00005624F6EC92E0 
00001DC9	.text:sum+213	mov     cs:_2_sum_1_opaque_ptr_2, rax	
00001DC9	.text:sum+21A	mov     [rbp+var_158], 1	
00001DC9	.text:sum+224	mov     rdx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+22B	mov     rax, cs:_2_sum_1_opaque_ptr_2	
00001DC9	.text:sum+232	cmp     rdx, rax	PF=0 ZF=0 
00001DC9	.text:sum+235	setnz   al	RAX=00005624F6EC9201 
00001DC9	.text:sum+238	movzx   eax, al	RAX=0000000000000001 
00001DC9	.text:sum+23B	mov     [rbp+var_154], eax	
00001DC9	.text:sum+241	lea     rax, [rbp+var_120]	RAX=00007FFEB943A160 
00001DC9	.text:sum+248	mov     [rbp+var_130], rax	
00001DC9	.text:sum+24F	lea     rax, _1_sum_$array	RAX=00005624F5813010 
00001DC9	.text:sum+256	mov     [rbp+var_128], rax	
00001DC9	.text:sum:loc_5624F5611A54	mov     rax, [rbp+var_128]	
00001DC9	.text:sum+264	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
00001DC9	.text:sum+267	movzx   eax, al	
00001DC9	.text:sum+26A	cmp     eax, 0B2h	PF=1 
00001DC9	.text:sum+26F	jz      loc_5624F5611E82	
00001DC9	.text:sum+275	cmp     eax, 0B2h	
00001DC9	.text:sum+27A	jg      short loc_5624F5611A8C	
00001DC9	.text:sum:loc_5624F5611A8C	cmp     eax, 0F2h	CF=1 SF=1 
00001DC9	.text:sum+29A	jz      loc_5624F5611C4E	
00001DC9	.text:sum+2A0	cmp     eax, 0F9h	AF=1 
00001DC9	.text:sum+2A5	jz      loc_5624F5611F84	
00001DC9	.text:sum+2AB	cmp     eax, 0B7h	CF=0 AF=0 ZF=1 SF=0 
00001DC9	.text:sum+2B0	jz      loc_5624F5611D24	
00001DC9	.text:sum:loc_5624F5611D24	mov     rdx, [rbp+var_128]	RDX=00005624F5813010 
00001DC9	.text:sum+534	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+53B	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+542	cmp     rcx, rax	PF=0 ZF=0 
00001DC9	.text:sum+545	setnz   al	RAX=00005624F6EC9201 
00001DC9	.text:sum+548	movzx   ecx, al	RCX=0000000000000001 
00001DC9	.text:sum+54B	mov     rsi, cs:_2_sum_1_opaque_ptr_1	RSI=00005624F6EC9300 
00001DC9	.text:sum+552	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+559	cmp     rsi, rax	
00001DC9	.text:sum+55C	setz    al	RAX=00005624F6EC9200 
00001DC9	.text:sum+55F	movzx   eax, al	RAX=0000000000000000 
00001DC9	.text:sum+562	sub     ecx, eax	
00001DC9	.text:sum+564	mov     eax, ecx	RAX=0000000000000001 
00001DC9	.text:sum+566	cdqe	
00001DC9	.text:sum+568	add     rax, rdx	RAX=00005624F5813011 PF=1 
00001DC9	.text:sum+56B	mov     [rbp+var_128], rax	
00001DC9	.text:sum+572	mov     rax, [rbp+var_128]	
00001DC9	.text:sum+579	mov     eax, [rax]	RAX=0000000000000001 
00001DC9	.text:sum+57B	test    eax, eax	PF=0 
00001DC9	.text:sum+57D	jz      short loc_5624F5611DB4	
00001DC9	.text:sum+57F	cmp     eax, 1	PF=1 ZF=1 
00001DC9	.text:sum+582	jnz     loc_5624F5611E02	
00001DC9	.text:sum+588	mov     rax, [rbp+var_130]	RAX=00007FFEB943A160 
00001DC9	.text:sum+58F	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+596	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+59D	cmp     rcx, rdx	PF=0 ZF=0 
00001DC9	.text:sum+5A0	jz      short loc_5624F5611DA0	
00001DC9	.text:sum+5A2	mov     edx, 8	RDX=0000000000000008 
00001DC9	.text:sum+5A7	jmp     short loc_5624F5611DA5	
00001DC9	.text:sum:loc_5624F5611DA5	add     rdx, rax	RDX=00007FFEB943A168 
00001DC9	.text:sum+5B1	lea     rax, [rbp+var_178]	RAX=00007FFEB943A108 
00001DC9	.text:sum+5B8	mov     [rdx], rax	
00001DC9	.text:sum+5BB	jmp     short loc_5624F5611E02	
00001DC9	.text:sum:loc_5624F5611E02	mov     rax, [rbp+var_130]	RAX=00007FFEB943A160 
00001DC9	.text:sum+612	mov     rcx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+619	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+620	cmp     rcx, rdx	
00001DC9	.text:sum+623	setz    dl	RDX=00005624F6EC9200 
00001DC9	.text:sum+626	movzx   ecx, dl	RCX=0000000000000000 
00001DC9	.text:sum+629	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+630	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+637	cmp     rsi, rdx	
00001DC9	.text:sum+63A	setnz   dl	RDX=00005624F6EC9201 
00001DC9	.text:sum+63D	movzx   edx, dl	RDX=0000000000000001 
00001DC9	.text:sum+640	add     edx, ecx	
00001DC9	.text:sum+642	movsxd  rdx, edx	
00001DC9	.text:sum+645	shl     rdx, 3	RDX=0000000000000008 
00001DC9	.text:sum+649	add     rax, rdx	RAX=00007FFEB943A168 
00001DC9	.text:sum+64C	mov     [rbp+var_130], rax	
00001DC9	.text:sum+653	mov     rdx, [rbp+var_128]	RDX=00005624F5813011 
00001DC9	.text:sum+65A	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+661	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+668	cmp     rcx, rax	
00001DC9	.text:sum+66B	jnz     short loc_5624F5611E6E	
00001DC9	.text:sum:loc_5624F5611E6E	mov     eax, 4	RAX=0000000000000004 
00001DC9	.text:sum:loc_5624F5611E73	add     rax, rdx	RAX=00005624F5813015 
00001DC9	.text:sum+67F	mov     [rbp+var_128], rax	
00001DC9	.text:sum+686	jmp     loc_5624F561204A	
00001DC9	.text:sum:loc_5624F561204A	jmp     loc_5624F5611A54	
00001DC9	.text:sum:loc_5624F5611A54	mov     rax, [rbp+var_128]	
00001DC9	.text:sum+264	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
00001DC9	.text:sum+267	movzx   eax, al	
00001DC9	.text:sum+26A	cmp     eax, 0B2h	CF=1 SF=1 
00001DC9	.text:sum+26F	jz      loc_5624F5611E82	
00001DC9	.text:sum+275	cmp     eax, 0B2h	
00001DC9	.text:sum+27A	jg      short loc_5624F5611A8C	
00001DC9	.text:sum+27C	cmp     eax, 59h ; 'Y'	CF=0 PF=1 ZF=1 SF=0 
00001DC9	.text:sum+27F	jz      loc_5624F5611BC8	
00001DC9	.text:sum:loc_5624F5611BC8	mov     rdx, [rbp+var_128]	RDX=00005624F5813015 
00001DC9	.text:sum+3D8	mov     rcx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+3DF	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+3E6	cmp     rcx, rax	PF=0 ZF=0 
00001DC9	.text:sum+3E9	setnz   al	RAX=00005624F6EC9201 
00001DC9	.text:sum+3EC	movzx   eax, al	RAX=0000000000000001 
00001DC9	.text:sum+3EF	add     rax, rdx	RAX=00005624F5813016 
00001DC9	.text:sum+3F2	mov     [rbp+var_128], rax	
00001DC9	.text:sum+3F9	mov     rax, [rbp+var_130]	RAX=00007FFEB943A168 
00001DC9	.text:sum+400	mov     rcx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+407	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+40E	cmp     rcx, rdx	
00001DC9	.text:sum+411	jnz     short loc_5624F5611C11	
00001DC9	.text:sum:loc_5624F5611C11	mov     edx, 0	RDX=0000000000000000 
00001DC9	.text:sum:loc_5624F5611C16	add     rax, rdx	
00001DC9	.text:sum+422	mov     rax, [rax]	RAX=00007FFEB943A108 
00001DC9	.text:sum+425	mov     rdx, [rbp+var_130]	RDX=00007FFEB943A168 
