Thread	Address	Instruction	Result
00001609	.text:sum:loc_5569944EC927	mov     rax, [rbp+var_128]	RAX=00005569946ED016 
00001609	.text:sum+1E3	add     rax, 1	RAX=00005569946ED017 ZF=0 
00001609	.text:sum+1E7	mov     [rbp+var_128], rax	
00001609	.text:sum+1EE	mov     rax, [rbp+var_128]	
00001609	.text:sum+1F5	mov     eax, [rax]	RAX=0000000000000000 
00001609	.text:sum+1F7	test    eax, eax	ZF=1 
00001609	.text:sum+1F9	jz      short loc_5569944EC962	
00001609	.text:sum:loc_5569944EC962	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD78 
00001609	.text:sum+21E	lea     rdx, [rax+8]	RDX=00007FFE59FBBD80 
00001609	.text:sum+222	lea     rax, [rbp+var_134]	RAX=00007FFE59FBBD5C 
00001609	.text:sum+229	mov     [rdx], rax	
00001609	.text:sum+22C	nop	
00001609	.text:sum:loc_5569944EC978	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD78 
00001609	.text:sum+234	add     rax, 8	RAX=00007FFE59FBBD80 PF=0 AF=1 ZF=0 
00001609	.text:sum+238	mov     [rbp+var_130], rax	
00001609	.text:sum+23F	mov     rax, [rbp+var_128]	RAX=00005569946ED017 
00001609	.text:sum+246	add     rax, 4	RAX=00005569946ED01B PF=1 AF=0 
00001609	.text:sum+24A	mov     [rbp+var_128], rax	
00001609	.text:sum+251	jmp     short loc_5569944EC9CA	
00001609	.text:sum:loc_5569944EC9CA	jmp     loc_5569944EC78D	
00001609	.text:sum:loc_5569944EC78D	mov     rax, [rbp+var_128]	
00001609	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=00000000000000FC 
00001609	.text:sum+4C	movzx   eax, al	
00001609	.text:sum+4F	cmp     eax, 5Bh ; '['	PF=0 
00001609	.text:sum+52	jz      short loc_5569944EC7DC	
00001609	.text:sum+54	cmp     eax, 5Bh ; '['	
00001609	.text:sum+57	jg      short loc_5569944EC7C1	
00001609	.text:sum:loc_5569944EC7C1	cmp     eax, 67h ; 'g'	PF=1 
00001609	.text:sum+79	jz      loc_5569944EC8D9	
00001609	.text:sum+7F	cmp     eax, 0FCh	ZF=1 
00001609	.text:sum+84	jz      loc_5569944EC87A	
00001609	.text:sum:loc_5569944EC87A	mov     rax, [rbp+var_128]	RAX=00005569946ED01B 
00001609	.text:sum+136	add     rax, 1	RAX=00005569946ED01C PF=0 ZF=0 
00001609	.text:sum+13A	mov     [rbp+var_128], rax	
00001609	.text:sum+141	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD80 
00001609	.text:sum+148	mov     rdx, [rax]	RDX=00007FFE59FBBD5C 
00001609	.text:sum+14B	mov     rax, [rbp+var_130]	
00001609	.text:sum+152	mov     edx, [rdx]	RDX=0000000000000006 
00001609	.text:sum+154	mov     [rax], edx	
00001609	.text:sum+156	jmp     loc_5569944EC9CA	
00001609	.text:sum:loc_5569944EC9CA	jmp     loc_5569944EC78D	
00001609	.text:sum:loc_5569944EC78D	mov     rax, [rbp+var_128]	RAX=00005569946ED01C 
00001609	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=0000000000000067 
00001609	.text:sum+4C	movzx   eax, al	
00001609	.text:sum+4F	cmp     eax, 5Bh ; '['	PF=1 AF=1 
00001609	.text:sum+52	jz      short loc_5569944EC7DC	
00001609	.text:sum+54	cmp     eax, 5Bh ; '['	
00001609	.text:sum+57	jg      short loc_5569944EC7C1	
00001609	.text:sum:loc_5569944EC7C1	cmp     eax, 67h ; 'g'	AF=0 ZF=1 
00001609	.text:sum+79	jz      loc_5569944EC8D9	
00001609	.text:sum:loc_5569944EC8D9	mov     rax, [rbp+var_128]	RAX=00005569946ED01C 
00001609	.text:sum+195	add     rax, 1	RAX=00005569946ED01D ZF=0 
00001609	.text:sum+199	mov     [rbp+var_128], rax	
00001609	.text:sum+1A0	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD80 
00001609	.text:sum+1A7	mov     ecx, [rax]	RCX=0000000000000006 
00001609	.text:sum+1A9	mov     rax, [rbp+var_130]	
00001609	.text:sum+1B0	sub     rax, 8	RAX=00007FFE59FBBD78 AF=1 
00001609	.text:sum+1B4	mov     edx, [rax]	RDX=0000000000000009 
00001609	.text:sum+1B6	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD80 
00001609	.text:sum+1BD	sub     rax, 8	RAX=00007FFE59FBBD78 
00001609	.text:sum+1C1	add     edx, ecx	RDX=000000000000000F AF=0 
00001609	.text:sum+1C3	mov     [rax], edx	
00001609	.text:sum+1C5	mov     rax, [rbp+var_130]	RAX=00007FFE59FBBD80 
00001609	.text:sum+1CC	sub     rax, 8	RAX=00007FFE59FBBD78 AF=1 
00001609	.text:sum+1D0	mov     [rbp+var_130], rax	
00001609	.text:sum+1D7	jmp     loc_5569944EC9CA	
00001609	.text:sum:loc_5569944EC9CA	jmp     loc_5569944EC78D	
00001609	.text:sum:loc_5569944EC78D	mov     rax, [rbp+var_128]	RAX=00005569946ED01D 
00001609	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=000000000000005B 
