Thread	Address	Instruction	Result
0000102D	.text:sum:loc_56441410F7CC	cmp     eax, 0F2h	CF=1 SF=1 
0000102D	.text:sum+7F	jz      loc_56441410F877	
0000102D	.text:sum+85	cmp     eax, 0F9h	AF=1 
0000102D	.text:sum+8A	jz      loc_56441410F97E	
0000102D	.text:sum+90	cmp     eax, 0B7h	CF=0 AF=0 ZF=1 SF=0 
0000102D	.text:sum+95	jz      loc_56441410F8B9	
0000102D	.text:sum:loc_56441410F8B9	mov     rax, [rbp+var_128]	RAX=0000564414310016 
0000102D	.text:sum+16E	add     rax, 1	RAX=0000564414310017 ZF=0 
0000102D	.text:sum+172	mov     [rbp+var_128], rax	
0000102D	.text:sum+179	mov     rax, [rbp+var_128]	
0000102D	.text:sum+180	mov     eax, [rax]	RAX=0000000000000000 
0000102D	.text:sum+182	test    eax, eax	ZF=1 
0000102D	.text:sum+184	jz      short loc_56441410F8F4	
0000102D	.text:sum:loc_56441410F8F4	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+1A9	lea     rdx, [rax+8]	RDX=00007FFED3F79CB0 
0000102D	.text:sum+1AD	lea     rax, [rbp+var_134]	RAX=00007FFED3F79C8C 
0000102D	.text:sum+1B4	mov     [rdx], rax	
0000102D	.text:sum+1B7	nop	
0000102D	.text:sum:loc_56441410F90A	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+1BF	add     rax, 8	RAX=00007FFED3F79CB0 PF=0 AF=1 ZF=0 
0000102D	.text:sum+1C3	mov     [rbp+var_130], rax	
0000102D	.text:sum+1CA	mov     rax, [rbp+var_128]	RAX=0000564414310017 
0000102D	.text:sum+1D1	add     rax, 4	RAX=000056441431001B PF=1 AF=0 
0000102D	.text:sum+1D5	mov     [rbp+var_128], rax	
0000102D	.text:sum+1DC	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	CF=1 PF=0 SF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum+61	cmp     eax, 59h ; 'Y'	CF=0 PF=1 ZF=1 SF=0 
0000102D	.text:sum+64	jz      loc_56441410F84B	
0000102D	.text:sum:loc_56441410F84B	mov     rax, [rbp+var_128]	RAX=000056441431001B 
0000102D	.text:sum+100	add     rax, 1	RAX=000056441431001C PF=0 ZF=0 
0000102D	.text:sum+104	mov     [rbp+var_128], rax	
