Thread	Address	Instruction	Result
0000134A	.text:sub_55A94535F984	mov     rax, [rbp-1A8h]	RAX=00007FFF063C6990 
0000134A	.text:sub_55A94535F984+7	add     rax, 8	RAX=00007FFF063C6998 PF=0 AF=0 
0000134A	.text:sub_55A94535F984+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F984+12	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F984+19	mov     rdx, [rax]	RDX=00007FFF063C6968 
0000134A	.text:sub_55A94535F984+1C	mov     rax, [rbp-1B0h]	
0000134A	.text:sub_55A94535F984+23	mov     edx, [rdx]	RDX=0000000000000009 
0000134A	.text:sub_55A94535F984+25	mov     [rax], edx	
0000134A	.text:sub_55A94535F984+27	mov     rax, [rbp-1A8h]	RAX=00007FFF063C6998 
0000134A	.text:sub_55A94535F984+2E	mov     rax, [rax]	RAX=000055A94535F867 
0000134A	.text:sub_55A94535F984+31	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F867	mov     rax, [rbp-1A8h]	RAX=00007FFF063C6998 
0000134A	.text:sub_55A94535F867+7	add     rax, 8	RAX=00007FFF063C69A0 PF=1 AF=1 
0000134A	.text:sub_55A94535F867+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F867+12	mov     rax, [rbp-1A8h]	
0000134A	.text:sub_55A94535F867+19	mov     eax, [rax]	RAX=0000000000000000 
0000134A	.text:sub_55A94535F867+1B	test    eax, eax	AF=0 ZF=1 
0000134A	.text:sub_55A94535F867+1D	jz      short loc_55A94535F8A2	
0000134A	.text:sub_55A94535F867:loc_55A94535F8A2	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F867+42	lea     rdx, [rax+8]	RDX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F867+46	lea     rax, [rbp-1B4h]	RAX=00007FFF063C696C 
0000134A	.text:sub_55A94535F867+4D	mov     [rdx], rax	
0000134A	.text:sub_55A94535F867+50	nop	
0000134A	.text:sub_55A94535F867:loc_55A94535F8B8	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F867+58	add     rax, 8	RAX=00007FFF063C6A10 PF=0 AF=1 ZF=0 
0000134A	.text:sub_55A94535F867+5C	mov     [rbp-1B0h], rax	
0000134A	.text:sub_55A94535F867+63	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69A0 
0000134A	.text:sub_55A94535F867+6A	add     rax, 8	RAX=00007FFF063C69A8 AF=0 
0000134A	.text:sub_55A94535F867+6E	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F867+75	mov     rax, [rbp-1A8h]	
0000134A	.text:sub_55A94535F867+7C	mov     rax, [rax]	RAX=000055A94535F984 
0000134A	.text:sub_55A94535F867+7F	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F984	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69A8 
0000134A	.text:sub_55A94535F984+7	add     rax, 8	RAX=00007FFF063C69B0 AF=1 
0000134A	.text:sub_55A94535F984+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F984+12	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F984+19	mov     rdx, [rax]	RDX=00007FFF063C696C 
