Thread	Address	Instruction	Result
00001846	.text:sum+7E7	mov     eax, [rax]	RAX=0000000000000008 
00001846	.text:sum+7E9	movsxd  rdx, eax	RDX=0000000000000008 
00001846	.text:sum+7EC	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+7EF	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+7F7	add     rax, 8	RAX=00007FFCDCB0DEE8 ZF=0 
00001846	.text:sum+7FB	lea     rcx, [rbp+var_50]	RCX=00007FFCDCB0E0E0 
00001846	.text:sum+7FF	add     rdx, rcx	RDX=00007FFCDCB0E0E8 
00001846	.text:sum+802	mov     [rax], rdx	
00001846	.text:sum+805	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+808	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE0 
00001846	.text:sum+810	lea     rdx, [rax+8]	RDX=00007FFCDCB0DEE8 
00001846	.text:sum+814	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+817	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+81F	movsxd  rax, ebx	
00001846	.text:sum+822	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB021 
00001846	.text:sum+82A	lea     rdx, [rax+4]	RDX=0000562BFD3BB025 
00001846	.text:sum+82E	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+831	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+839	nop	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000001 
00001846	.text:sum+83D	cmp     eax, 1	ZF=1 
00001846	.text:sum+840	jle     short loc_562BFD1BA030	
00001846	.text:sum:loc_562BFD1BA030	lea     eax, [rbx+1]	
00001846	.text:sum:loc_562BFD1BA033	mov     ebx, eax	RBX=0000000000000001 
00001846	.text:sum+84C	jmp     loc_562BFD1B98B5	
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB099 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=00000000000000F7 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	PF=0 ZF=0 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum:loc_562BFD1B9922	cmp     eax, 0C6h	
00001846	.text:sum+13E	jz      loc_562BFD1B9DB1	
00001846	.text:sum+144	cmp     eax, 0C6h	
00001846	.text:sum+149	jg      short loc_562BFD1B995A	
00001846	.text:sum:loc_562BFD1B995A	cmp     eax, 0F4h	PF=1 
00001846	.text:sum+176	jz      loc_562BFD1B9E36	
00001846	.text:sum+17C	cmp     eax, 0F4h	
00001846	.text:sum+181	jg      short loc_562BFD1B997C	
00001846	.text:sum:loc_562BFD1B997C	cmp     eax, 0F5h	PF=0 
00001846	.text:sum+198	jz      loc_562BFD1B9EA9	
00001846	.text:sum+19E	cmp     eax, 0F7h	PF=1 ZF=1 
00001846	.text:sum+1A3	jz      loc_562BFD1B9C6A	
00001846	.text:sum:loc_562BFD1B9C6A	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+484	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB099 
00001846	.text:sum+48C	lea     rdx, [rax+1]	RDX=0000562BFD3BB09A 
00001846	.text:sum+490	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+493	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+49B	movsxd  rax, ebx	
00001846	.text:sum+49E	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB09A 
00001846	.text:sum+4A6	mov     eax, [rax]	RAX=0000000000000000 
00001846	.text:sum+4A8	test    eax, eax	
00001846	.text:sum+4AA	jnz     short loc_562BFD1B9CAF	
00001846	.text:sum+4AC	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+4AF	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DFE0 
00001846	.text:sum+4B7	lea     rdx, [rax+8]	RDX=00007FFCDCB0DFE8 
00001846	.text:sum+4BB	lea     rax, _1_sum_$devNull	RAX=0000562BFD3BB130 
00001846	.text:sum+4C2	mov     [rdx], rax	
00001846	.text:sum+4C5	nop	
00001846	.text:sum:loc_562BFD1B9CAF	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+4C9	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DFE0 
00001846	.text:sum+4D1	lea     rdx, [rax+8]	
00001846	.text:sum+4D5	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+4D8	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+4E0	movsxd  rax, ebx	
00001846	.text:sum+4E3	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB09A 
00001846	.text:sum+4EB	lea     rdx, [rax+4]	RDX=0000562BFD3BB09E 
00001846	.text:sum+4EF	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+4F2	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+4FA	jmp     loc_562BFD1BA023	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000002 
00001846	.text:sum+83D	cmp     eax, 1	PF=0 ZF=0 
00001846	.text:sum+840	jle     short loc_562BFD1BA030	
00001846	.text:sum+842	lea     eax, [rbx-1]	RAX=0000000000000000 
00001846	.text:sum+845	jmp     short loc_562BFD1BA033	
00001846	.text:sum:loc_562BFD1BA033	mov     ebx, eax	RBX=0000000000000000 
00001846	.text:sum+84C	jmp     loc_562BFD1B98B5	
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB025 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=0000000000000041 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	CF=1 SF=1 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum+EB	cmp     eax, 41h ; 'A'	CF=0 PF=1 ZF=1 SF=0 
00001846	.text:sum+EE	jz      loc_562BFD1B9BCC	
00001846	.text:sum:loc_562BFD1B9BCC	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+3E6	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB025 
00001846	.text:sum+3EE	lea     rdx, [rax+1]	RDX=0000562BFD3BB026 
00001846	.text:sum+3F2	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+3F5	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+3FD	movsxd  rax, ebx	
00001846	.text:sum+400	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB026 
00001846	.text:sum+408	mov     eax, [rax]	RAX=0000000000000000 
00001846	.text:sum+40A	test    eax, eax	
00001846	.text:sum+40C	jz      short loc_562BFD1B9C17	
00001846	.text:sum:loc_562BFD1B9C17	movsxd  rax, ebx	
00001846	.text:sum+431	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE8 
00001846	.text:sum+439	lea     rdx, [rax+8]	RDX=00007FFCDCB0DEF0 
00001846	.text:sum+43D	lea     rax, [rbp+var_274]	RAX=00007FFCDCB0DEBC 
00001846	.text:sum+444	mov     [rdx], rax	
00001846	.text:sum+447	nop	
00001846	.text:sum:loc_562BFD1B9C31	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+44B	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEE8 
00001846	.text:sum+453	lea     rdx, [rax+8]	
00001846	.text:sum+457	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+45A	mov     [rbp+rax*8+var_270], rdx	
00001846	.text:sum+462	movsxd  rax, ebx	
00001846	.text:sum+465	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB026 
00001846	.text:sum+46D	lea     rdx, [rax+4]	RDX=0000562BFD3BB02A 
00001846	.text:sum+471	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+474	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+47C	jmp     loc_562BFD1BA023	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000001 
00001846	.text:sum+83D	cmp     eax, 1	
00001846	.text:sum+840	jle     short loc_562BFD1BA030	
00001846	.text:sum:loc_562BFD1BA030	lea     eax, [rbx+1]	
00001846	.text:sum:loc_562BFD1BA033	mov     ebx, eax	RBX=0000000000000001 
00001846	.text:sum+84C	jmp     loc_562BFD1B98B5	
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB09E 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=0000000000000082 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	ZF=0 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum:loc_562BFD1B9922	cmp     eax, 0C6h	CF=1 PF=0 AF=1 SF=1 
00001846	.text:sum+13E	jz      loc_562BFD1B9DB1	
00001846	.text:sum+144	cmp     eax, 0C6h	
00001846	.text:sum+149	jg      short loc_562BFD1B995A	
00001846	.text:sum+14B	cmp     eax, 82h	CF=0 PF=1 AF=0 ZF=1 SF=0 
00001846	.text:sum+150	jz      loc_562BFD1B9DF8	
00001846	.text:sum:loc_562BFD1B9DF8	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+612	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB09E 
00001846	.text:sum+61A	lea     rdx, [rax+1]	RDX=0000562BFD3BB09F 
00001846	.text:sum+61E	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+621	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+629	movsxd  rax, ebx	
00001846	.text:sum+62C	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DFE8 
00001846	.text:sum+634	mov     rdx, [rax]	RDX=0000562BFD3BB130 
00001846	.text:sum+637	movsxd  rax, ebx	RAX=0000000000000001 
00001846	.text:sum+63A	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DFE8 
00001846	.text:sum+642	mov     rdx, [rdx]	RDX=0000000000000000 
00001846	.text:sum+645	mov     [rax], rdx	
00001846	.text:sum+648	jmp     loc_562BFD1BA023	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000002 
00001846	.text:sum+83D	cmp     eax, 1	PF=0 ZF=0 
00001846	.text:sum+840	jle     short loc_562BFD1BA030	
00001846	.text:sum+842	lea     eax, [rbx-1]	RAX=0000000000000000 
00001846	.text:sum+845	jmp     short loc_562BFD1BA033	
00001846	.text:sum:loc_562BFD1BA033	mov     ebx, eax	RBX=0000000000000000 
00001846	.text:sum+84C	jmp     loc_562BFD1B98B5	
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB02A 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=0000000000000088 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	PF=1 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum:loc_562BFD1B9922	cmp     eax, 0C6h	CF=1 PF=0 SF=1 
00001846	.text:sum+13E	jz      loc_562BFD1B9DB1	
00001846	.text:sum+144	cmp     eax, 0C6h	
00001846	.text:sum+149	jg      short loc_562BFD1B995A	
00001846	.text:sum+14B	cmp     eax, 82h	CF=0 PF=1 SF=0 
00001846	.text:sum+150	jz      loc_562BFD1B9DF8	
00001846	.text:sum+156	cmp     eax, 88h	ZF=1 
00001846	.text:sum+15B	jz      loc_562BFD1B9B90	
00001846	.text:sum:loc_562BFD1B9B90	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+3AA	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB02A 
00001846	.text:sum+3B2	lea     rdx, [rax+1]	RDX=0000562BFD3BB02B 
00001846	.text:sum+3B6	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+3B9	mov     [rbp+rax*8+var_260], rdx	
00001846	.text:sum+3C1	movsxd  rax, ebx	
00001846	.text:sum+3C4	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEF0 
00001846	.text:sum+3CC	mov     rdx, [rax]	RDX=00007FFCDCB0DEBC 
00001846	.text:sum+3CF	movsxd  rax, ebx	RAX=0000000000000000 
00001846	.text:sum+3D2	mov     rax, [rbp+rax*8+var_270]	RAX=00007FFCDCB0DEF0 
00001846	.text:sum+3DA	mov     edx, [rdx]	RDX=0000000000000006 
00001846	.text:sum+3DC	mov     [rax], edx	
00001846	.text:sum+3DE	jmp     loc_562BFD1BA023	
00001846	.text:sum:loc_562BFD1BA023	lea     eax, [rbx+1]	RAX=0000000000000001 
00001846	.text:sum+83D	cmp     eax, 1	
00001846	.text:sum+840	jle     short loc_562BFD1BA030	
00001846	.text:sum:loc_562BFD1BA030	lea     eax, [rbx+1]	
00001846	.text:sum:loc_562BFD1BA033	mov     ebx, eax	RBX=0000000000000001 
00001846	.text:sum+84C	jmp     loc_562BFD1B98B5	
00001846	.text:sum:loc_562BFD1B98B5	movsxd  rax, ebx	
00001846	.text:sum+CF	mov     rax, [rbp+rax*8+var_260]	RAX=0000562BFD3BB09F 
00001846	.text:sum+D7	movzx   eax, byte ptr [rax]	RAX=000000000000006D 
00001846	.text:sum+DA	movzx   eax, al	
00001846	.text:sum+DD	cmp     eax, 71h ; 'q'	CF=1 ZF=0 SF=1 
00001846	.text:sum+E0	jz      loc_562BFD1B9CE8	
00001846	.text:sum+E6	cmp     eax, 71h ; 'q'	
00001846	.text:sum+E9	jg      short loc_562BFD1B9922	
00001846	.text:sum+EB	cmp     eax, 41h ; 'A'	CF=0 PF=0 SF=0 
00001846	.text:sum+EE	jz      loc_562BFD1B9BCC	
00001846	.text:sum+F4	cmp     eax, 41h ; 'A'	
