Thread	Address	Instruction	Result
000013BA	.text:sub_564775332044+7	add     rax, 1	RAX=0000564775533027 PF=1 
000013BA	.text:sub_564775332044+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332044+12	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332044+19	mov     eax, [rax]	RAX=0000000000000000 
000013BA	.text:sub_564775332044+1B	test    eax, eax	ZF=1 
000013BA	.text:sub_564775332044+1D	jz      short loc_56477533207F	
000013BA	.text:sub_564775332044:loc_56477533207F	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332044+42	lea     rdx, [rax+8]	RDX=00007FFFAFFCE220 
000013BA	.text:sub_564775332044+46	lea     rax, [rbp-934h]	RAX=00007FFFAFFCE1FC 
000013BA	.text:sub_564775332044+4D	mov     [rdx], rax	
000013BA	.text:sub_564775332044+50	nop	
000013BA	.text:sub_564775332044:loc_564775332095	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332044+58	add     rax, 8	RAX=00007FFFAFFCE220 PF=0 AF=1 ZF=0 
000013BA	.text:sub_564775332044+5C	mov     [rbp-930h], rax	
000013BA	.text:sub_564775332044+63	mov     rax, [rbp-928h]	RAX=0000564775533027 
000013BA	.text:sub_564775332044+6A	add     rax, 4	RAX=000056477553302B PF=1 AF=0 
000013BA	.text:sub_564775332044+6E	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332044+75	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332044+7C	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
000013BA	.text:sub_564775332044+7F	movzx   eax, al	
000013BA	.text:sub_564775332044+82	cdqe	
000013BA	.text:sub_564775332044+84	mov     rax, [rbp+rax*8-820h]	RAX=0000564775332001 
000013BA	.text:sub_564775332044+8C	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332001	mov     rax, [rbp-928h]	RAX=000056477553302B 
000013BA	.text:sub_564775332001+7	add     rax, 1	RAX=000056477553302C PF=0 
000013BA	.text:sub_564775332001+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332001+12	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE220 
000013BA	.text:sub_564775332001+19	mov     rdx, [rax]	RDX=00007FFFAFFCE1FC 
000013BA	.text:sub_564775332001+1C	mov     rax, [rbp-930h]	
000013BA	.text:sub_564775332001+23	mov     edx, [rdx]	RDX=0000000000000006 
000013BA	.text:sub_564775332001+25	mov     [rax], edx	
000013BA	.text:sub_564775332001+27	mov     rax, [rbp-928h]	RAX=000056477553302C 
000013BA	.text:sub_564775332001+2E	movzx   eax, byte ptr [rax]	RAX=00000000000000B2 
000013BA	.text:sub_564775332001+31	movzx   eax, al	
000013BA	.text:sub_564775332001+34	cdqe	
000013BA	.text:sub_564775332001+36	mov     rax, [rbp+rax*8-820h]	RAX=0000564775331F48 
000013BA	.text:sub_564775332001+3E	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sum:loc_564775331F48	mov     rax, [rbp+var_928]	RAX=000056477553302C 
000013BA	.text:sum+7E	add     rax, 1	RAX=000056477553302D PF=1 
000013BA	.text:sum+82	mov     [rbp+var_928], rax	
000013BA	.text:sum+89	mov     rax, [rbp+var_930]	RAX=00007FFFAFFCE220 
000013BA	.text:sum+90	mov     ecx, [rax]	RCX=0000000000000006 
000013BA	.text:sum+92	mov     rax, [rbp+var_930]	
000013BA	.text:sum+99	sub     rax, 8	RAX=00007FFFAFFCE218 AF=1 
000013BA	.text:sum+9D	mov     edx, [rax]	RDX=0000000000000009 
000013BA	.text:sum+9F	mov     rax, [rbp+var_930]	RAX=00007FFFAFFCE220 
000013BA	.text:sum+A6	sub     rax, 8	RAX=00007FFFAFFCE218 
000013BA	.text:sum+AA	add     edx, ecx	RDX=000000000000000F AF=0 
000013BA	.text:sum+AC	mov     [rax], edx	
000013BA	.text:sum+AE	mov     rax, [rbp+var_930]	RAX=00007FFFAFFCE220 
000013BA	.text:sum+B5	sub     rax, 8	RAX=00007FFFAFFCE218 AF=1 
000013BA	.text:sum+B9	mov     [rbp+var_930], rax	
000013BA	.text:sum+C0	mov     rax, [rbp+var_928]	RAX=000056477553302D 
000013BA	.text:sum+C7	movzx   eax, byte ptr [rax]	RAX=000000000000007E 
000013BA	.text:sum+CA	movzx   eax, al	
000013BA	.text:sum+CD	cdqe	
000013BA	.text:sum+CF	mov     rax, [rbp+rax*8+var_820]	RAX=0000564775332108 
000013BA	.text:sum+D7	nop	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
